lang,cid,sid,topic,metric_description,metric_code,page,file_stem,sasb_category,sasb_unit_of_measure,sasb_key_terms,sasb_what_counts,pred_label,category_match,unit_match
english,esg-report-2022,FN-CB-510a.1,Business Ethics,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, antitrust, anti-competitive behaviour, market manipulation, malpractice, or other related financial industry laws or regulations 4",FN-CB-510a.1,34,esg-report-2022_034,Quantitative,Presentation currency,monetary losses|legal proceedings|fraud|insider trading|anti-trust|market manipulation|malpractice|regulatory fines|settlements,"Total monetary losses (fines, penalties, settlements, judgements) from legal proceedings related to fraud, insider trading, anti-trust violations, market manipulation, malpractice, and other financial industry legal/regulatory violations. EXCLUDES legal defence costs.",,,
english,esg-report-2022,FN-CB-240a.1,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding that qualify for programmes designed to promote small business and community development 2,FN-CB-240a.1,35,esg-report-2022_035,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.,,,
english,esg-report-2022,FN-CB-240a.1,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding that qualify for programmes designed to promote small business and community development 2,FN-CB-240a.1,37,esg-report-2022_037,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.,,,
english,esg-report-2022,FN-CB-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Credit Analysis","Description of approach to incorporation of environmental, social and governance (ESG) factors in credit analysis",FN-CB-410a.2,13,esg-report-2022_013,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations.",,,
english,esg-report-2022,FN-CB-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Credit Analysis","Description of approach to incorporation of environmental, social and governance (ESG) factors in credit analysis",FN-CB-410a.2,17,esg-report-2022_017,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations.",,,
english,esg-report-2022,FN-CB-240a.1,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding that qualify for programmes designed to promote small business and community development 2,FN-CB-240a.1,17,esg-report-2022_017,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.,,,
english,esg-report-2022,FN-CB-240a.1,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding that qualify for programmes designed to promote small business and community development 2,FN-CB-240a.1,21,esg-report-2022_021,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.,,,
english,esg-report-2022,FN-CB-230a.2,Data Security,Description of approach to identifying and addressing data security risks,FN-CB-230a.2,26,esg-report-2022_026,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking).",,,
english,esg-report-2022,FN-CB-240a.1,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding that qualify for programmes designed to promote small business and community development 2,FN-CB-240a.1,26,esg-report-2022_026,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.,,,
english,esg-report-2022,FN-CB-230a.2,Data Security,Description of approach to identifying and addressing data security risks,FN-CB-230a.2,37,esg-report-2022_037,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking).",,,
english,esg-report-2022,FN-CB-510a.1,Business Ethics,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, antitrust, anti-competitive behaviour, market manipulation, malpractice, or other related financial industry laws or regulations 4",FN-CB-510a.1,35,esg-report-2022_035,Quantitative,Presentation currency,monetary losses|legal proceedings|fraud|insider trading|anti-trust|market manipulation|malpractice|regulatory fines|settlements,"Total monetary losses (fines, penalties, settlements, judgements) from legal proceedings related to fraud, insider trading, anti-trust violations, market manipulation, malpractice, and other financial industry legal/regulatory violations. EXCLUDES legal defence costs.",,,
english,esg-report-2022,FN-CB-240a.1,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding that qualify for programmes designed to promote small business and community development 2,FN-CB-240a.1,44,esg-report-2022_044,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.,,,
english,esg-report-2022,FN-CB-410b.4,Financed Emissions,Description of the methodology used to calculate financed emissions,FN-CB-410b.4,46,esg-report-2022_046,Discussion and Analysis,n/a,financed emissions methodology|PCAF|attribution factor|data sources|emission factors|portfolio carbon accounting|estimation approach,"Qualitative description of: methodology for calculating financed emissions (PCAF or equivalent), attribution factors used by asset class, data sources for counterparty emissions and financial data, estimation approaches for data gaps, and deviations from PCAF methodology.",,,
english,2022-baytex-esg-report-final,EM-EP-160a.1,Biodiversity Impacts,Description of environmental management policies and practices for active sites,EM-EP-160a.1,14,2022-baytex-esg-report-final_014,Discussion and Analysis,n/a,biodiversity|environmental management|EMS|environmental policy|active sites|habitat|protected areas|environmental impact assessment|EIA,"Qualitative description of environmental management policies and practices at active exploration and production sites, including: environmental management systems (EMS), biodiversity assessments, habitat protection measures, restoration practices, and compliance with national/international biodiversity standards.",,,
english,2022-baytex-esg-report-final,EM-EP-210b.1,Community Relations,Discussion of process to manage risks and opportunities associated with community rights and interests,EM-EP-210b.1,26,2022-baytex-esg-report-final_026,Discussion and Analysis,n/a,community relations|community engagement|social licence to operate|stakeholder engagement|community investment|grievance mechanism|community rights,"Qualitative discussion of processes to manage risks and opportunities related to community rights and interests, including: stakeholder identification and engagement, grievance mechanisms, community investment programmes, free prior informed consent, benefit sharing, and social impact assessment.",,,
english,2022-baytex-esg-report-final,EM-EP-320a.2,Workforce Health & Safety,Discussion of management systems used to integrate a culture of safety throughout the exploration and production lifecycle,EM-EP-320a.2,30,2022-baytex-esg-report-final_030,Discussion and Analysis,n/a,safety management system|safety culture|process safety|HSE management|safety leadership|exploration lifecycle|production lifecycle|behaviour-based safety,"Qualitative description of safety management systems including: safety leadership and culture programmes, risk assessment processes, incident investigation procedures, safety training, contractor management, and integration of safety across exploration, drilling, and production phases.",,,
english,2022-baytex-esg-report-final,EM-EP-320a.2,Workforce Health & Safety,Discussion of management systems used to integrate a culture of safety throughout the exploration and production lifecycle,EM-EP-320a.2,31,2022-baytex-esg-report-final_031,Discussion and Analysis,n/a,safety management system|safety culture|process safety|HSE management|safety leadership|exploration lifecycle|production lifecycle|behaviour-based safety,"Qualitative description of safety management systems including: safety leadership and culture programmes, risk assessment processes, incident investigation procedures, safety training, contractor management, and integration of safety across exploration, drilling, and production phases.",,,
english,2022-baytex-esg-report-final,EM-EP-510a.2,Business Ethics & Transparency,Description of the management system for prevention of corruption and bribery throughout the value chain,EM-EP-510a.2,41,2022-baytex-esg-report-final_041,Discussion and Analysis,n/a,anti-corruption|anti-bribery|compliance programme|due diligence|third-party risk|value chain|FCPA|UK Bribery Act|whistleblower,"Qualitative description of anti-corruption management system including: policies and codes of conduct, due diligence on third parties (agents, joint venture partners, suppliers), training programmes, monitoring and audit processes, whistleblower mechanisms, and applicability throughout the value chain.",,,
english,2022-baytex-esg-report-final,EM-EP-110a.1,Greenhouse Gas Emissions,"Gross global Scope 1 emissions, percentage methane, percentage covered under emissions-limiting regulations",EM-EP-110a.1,52,2022-baytex-esg-report-final_052,Quantitative,Metric tonnes (t) CO2-e|Percentage (%),Scope 1|greenhouse gas|GHG|methane|CO2-e|emissions-limiting regulations|flaring|venting|fugitive emissions|GWP,"Three values: (1) total gross global Scope 1 GHG emissions in metric tonnes CO2-e (using GWP values from IPCC); (2) percentage that is methane (CH4); (3) percentage covered under emissions-limiting regulations (cap-and-trade, carbon tax, or regulatory limits). Includes combustion, flaring, venting, fugitive emissions from all owned/operated assets.",,,
english,2022-baytex-esg-report-final,EM-EP-110a.2,Greenhouse Gas Emissions,"Amount of gross global Scope 1 emissions from: (1) flared hydrocarbons, (2) other combustion, (3) process emissions, (4) other vented emissions and (5) fugitive emissions",EM-EP-110a.2,52,2022-baytex-esg-report-final_052,Quantitative,Metric tonnes (t) CO2-e,flaring|combustion|process emissions|vented emissions|fugitive emissions|methane leakage|GHG breakdown|emission sources,"Five disaggregated Scope 1 emission values in metric tonnes CO2-e: (1) flared hydrocarbons; (2) other combustion (engines, boilers, heaters); (3) process emissions (chemical reactions); (4) other vented emissions (intentional non-flare); (5) fugitive emissions (unintentional leaks from equipment). Sum should approximate total Scope 1.",,,
english,2022-baytex-esg-report-final,EM-EP-110a.3,Greenhouse Gas Emissions,"Discussion of long- and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",EM-EP-110a.3,12,2022-baytex-esg-report-final_012,Discussion and Analysis,n/a,emissions reduction strategy|GHG targets|climate strategy|net zero|carbon reduction plan|flare reduction|methane reduction|emissions performance,Qualitative discussion covering: (1) long-term and short-term strategy/plan to manage Scope 1 emissions; (2) specific emissions reduction targets (absolute or intensity); (3) analysis of performance against those targets. Must include timeframe for targets and progress to date.,,,
english,2022-baytex-esg-report-final,EM-EP-110a.3,Greenhouse Gas Emissions,"Discussion of long- and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",EM-EP-110a.3,14,2022-baytex-esg-report-final_014,Discussion and Analysis,n/a,emissions reduction strategy|GHG targets|climate strategy|net zero|carbon reduction plan|flare reduction|methane reduction|emissions performance,Qualitative discussion covering: (1) long-term and short-term strategy/plan to manage Scope 1 emissions; (2) specific emissions reduction targets (absolute or intensity); (3) analysis of performance against those targets. Must include timeframe for targets and progress to date.,,,
english,2022-baytex-esg-report-final,EM-EP-160a.1,Biodiversity Impacts,Description of environmental management policies and practices for active sites,EM-EP-160a.1,17,2022-baytex-esg-report-final_017,Discussion and Analysis,n/a,biodiversity|environmental management|EMS|environmental policy|active sites|habitat|protected areas|environmental impact assessment|EIA,"Qualitative description of environmental management policies and practices at active exploration and production sites, including: environmental management systems (EMS), biodiversity assessments, habitat protection measures, restoration practices, and compliance with national/international biodiversity standards.",,,
english,2022-baytex-esg-report-final,EM-EP-160a.1,Environmental Impacts in the Supply Chain,Description of environmental management policies and practices for active sites,EM-EP-160a.1,17,2022-baytex-esg-report-final_017,Discussion and Analysis,n/a,biodiversity|environmental management|EMS|environmental policy|active sites|habitat|protected areas|environmental impact assessment|EIA,"Qualitative description of environmental management policies and practices at active exploration and production sites, including: environmental management systems (EMS), biodiversity assessments, habitat protection measures, restoration practices, and compliance with national/international biodiversity standards.",,,
english,2022-baytex-esg-report-final,EM-EP-210b.1,Community Relations,Discussion of process to manage risks and opportunities associated with community rights and interests,EM-EP-210b.1,27,2022-baytex-esg-report-final_027,Discussion and Analysis,n/a,community relations|community engagement|social licence to operate|stakeholder engagement|community investment|grievance mechanism|community rights,"Qualitative discussion of processes to manage risks and opportunities related to community rights and interests, including: stakeholder identification and engagement, grievance mechanisms, community investment programmes, free prior informed consent, benefit sharing, and social impact assessment.",,,
english,2022-baytex-esg-report-final,EM-EP-320a.2,Workforce Health & Safety,Discussion of management systems used to integrate a culture of safety throughout the exploration and production lifecycle,EM-EP-320a.2,32,2022-baytex-esg-report-final_032,Discussion and Analysis,n/a,safety management system|safety culture|process safety|HSE management|safety leadership|exploration lifecycle|production lifecycle|behaviour-based safety,"Qualitative description of safety management systems including: safety leadership and culture programmes, risk assessment processes, incident investigation procedures, safety training, contractor management, and integration of safety across exploration, drilling, and production phases.",,,
english,2022-baytex-esg-report-final,EM-EP-210a.3,"Security, Human Rights & Rights of Indigenous Peoples","Discussion of engagement processes and due diligence practices with respect to human rights, indigenous rights, and operation in areas of conflict",EM-EP-210a.3,36,2022-baytex-esg-report-final_036,Quantitative,Number,bribery|corruption|facilitation payments|FCPA|UK Bribery Act|anti-corruption|compliance violations,"Total number of incidents involving bribery, corruption, or facilitation payments during the reporting period. Includes incidents reported internally and those identified by external parties or regulators. Must describe corrective actions taken.",,,
english,2022-baytex-esg-report-final,EM-EP-510a.2,Business Ethics & Transparency,Description of the management system for prevention of corruption and bribery throughout the value chain,EM-EP-510a.2,42,2022-baytex-esg-report-final_042,Discussion and Analysis,n/a,anti-corruption|anti-bribery|compliance programme|due diligence|third-party risk|value chain|FCPA|UK Bribery Act|whistleblower,"Qualitative description of anti-corruption management system including: policies and codes of conduct, due diligence on third parties (agents, joint venture partners, suppliers), training programmes, monitoring and audit processes, whistleblower mechanisms, and applicability throughout the value chain.",,,
english,burberry_2020-21_esg,CG-AA-430a.1,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits or contractual agreements,CG-AA-430a.1,6,burberry_2020-21_esg_006,Quantitative,Percentage (%),supplier audit|social audit|Tier 1 suppliers|supply chain|environmental audit|SMETA|Fair Trade|responsible sourcing,"Percentage of supplier facilities audited to an environmental social audit standard, disaggregated by: (1) Tier 1 (direct suppliers) and (2) beyond Tier 1 (sub-suppliers); and by (a) all facilities and (b) high-risk facilities. Reports coverage and penetration of audit programmes.",,,
english,burberry_2020-21_esg,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,6,burberry_2020-21_esg_006,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
english,burberry_2020-21_esg,CG-AA-430b.1,Labour Conditions in the Supply Chain,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labour code of conduct, (3) percentage of total audits conducted by a third-party auditor",CG-AA-430b.1,21,burberry_2020-21_esg_021,Quantitative,Percentage (%),labour audit|Tier 1 suppliers|beyond Tier 1|high-risk facilities|supply chain|SMETA|SA8000|fair labour|working conditions,"Percentage of supplier facilities (Tier 1 and beyond) audited to a recognised labour standard (SMETA, SA8000, Fair Trade, etc.), disaggregated by tier (1 vs. beyond 1) and risk level (all vs. high-risk).",,,
english,burberry_2020-21_esg,CG-AA-430b.3,Labour Conditions in the Supply Chain,"Description of the greatest (1) labour and (2) environmental, health and safety risks in the supply chain",CG-AA-430b.3,21,burberry_2020-21_esg_021,Discussion and Analysis,n/a,supply chain risks|labour risks|health and safety|forced labour|child labour|working conditions|environmental risk|supplier risk,"Qualitative description of the most material labour risks (e.g. forced labour, child labour, excessive hours, wage theft, freedom of association) and environmental/health & safety risks in the supply chain, including geographic concentration and mitigation strategies.",,,
english,burberry_2020-21_esg,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,30,burberry_2020-21_esg_030,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
english,burberry_2020-21_esg,CG-AA-250a.2,Management of Chemicals in Products,Discussion of processes to assess and manage risks or hazards associated with chemicals in products,CG-AA-250a.2,31,burberry_2020-21_esg_031,Discussion and Analysis,n/a,chemical hazards|product safety|chemical risk assessment|restricted substances|ZDHC|bluesign|safer chemistry|hazard assessment,"Qualitative description of processes to proactively assess and manage chemical risks beyond compliance: hazard assessment of chemicals used in manufacturing, substitution programs for chemicals of concern, safer chemistry initiatives, and supplier capability building.",,,
english,burberry_2020-21_esg,CG-AA-430a.1,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits or contractual agreements,CG-AA-430a.1,31,burberry_2020-21_esg_031,Quantitative,Percentage (%),supplier audit|social audit|Tier 1 suppliers|supply chain|environmental audit|SMETA|Fair Trade|responsible sourcing,"Percentage of supplier facilities audited to an environmental social audit standard, disaggregated by: (1) Tier 1 (direct suppliers) and (2) beyond Tier 1 (sub-suppliers); and by (a) all facilities and (b) high-risk facilities. Reports coverage and penetration of audit programmes.",,,
english,burberry_2020-21_esg,CG-AA-430b.1,Labour Conditions in the Supply Chain,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labour code of conduct, (3) percentage of total audits conducted by a third-party auditor",CG-AA-430b.1,31,burberry_2020-21_esg_031,Quantitative,Percentage (%),labour audit|Tier 1 suppliers|beyond Tier 1|high-risk facilities|supply chain|SMETA|SA8000|fair labour|working conditions,"Percentage of supplier facilities (Tier 1 and beyond) audited to a recognised labour standard (SMETA, SA8000, Fair Trade, etc.), disaggregated by tier (1 vs. beyond 1) and risk level (all vs. high-risk).",,,
english,burberry_2020-21_esg,CG-AA-430b.2,Labour Conditions in the Supply Chain,(1) Priority non-conformance rate and (2) associated corrective action rate for suppliers’ labour code of conduct audits,CG-AA-430b.2,31,burberry_2020-21_esg_031,Quantitative,Percentage (%),non-conformance|corrective action|labour audit|priority violations|supplier compliance|SMETA|audit findings|remediation,Two rates from labour audits: (1) percentage of audited facilities with at least one priority non-conformance (serious violation of labour standards); (2) percentage of priority non-conformances for which a corrective action plan has been implemented.,,,
english,burberry_2020-21_esg,CG-AA-430b.3,Labour Conditions in the Supply Chain,"Description of the greatest (1) labour and (2) environmental, health and safety risks in the supply chain",CG-AA-430b.3,22,burberry_2020-21_esg_022,Discussion and Analysis,n/a,supply chain risks|labour risks|health and safety|forced labour|child labour|working conditions|environmental risk|supplier risk,"Qualitative description of the most material labour risks (e.g. forced labour, child labour, excessive hours, wage theft, freedom of association) and environmental/health & safety risks in the supply chain, including geographic concentration and mitigation strategies.",,,
english,burberry_2020-21_esg,CG-AA-430b.1,Labour Conditions in the Supply Chain,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labour code of conduct, (3) percentage of total audits conducted by a third-party auditor",CG-AA-430b.1,22,burberry_2020-21_esg_022,Quantitative,Percentage (%),labour audit|Tier 1 suppliers|beyond Tier 1|high-risk facilities|supply chain|SMETA|SA8000|fair labour|working conditions,"Percentage of supplier facilities (Tier 1 and beyond) audited to a recognised labour standard (SMETA, SA8000, Fair Trade, etc.), disaggregated by tier (1 vs. beyond 1) and risk level (all vs. high-risk).",,,
english,burberry_2020-21_esg,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,31,burberry_2020-21_esg_031,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
english,burberry_2020-21_esg,CG-AA-250a.2,Management of Chemicals in Products,Discussion of processes to assess and manage risks or hazards associated with chemicals in products,CG-AA-250a.2,32,burberry_2020-21_esg_032,Discussion and Analysis,n/a,chemical hazards|product safety|chemical risk assessment|restricted substances|ZDHC|bluesign|safer chemistry|hazard assessment,"Qualitative description of processes to proactively assess and manage chemical risks beyond compliance: hazard assessment of chemicals used in manufacturing, substitution programs for chemicals of concern, safer chemistry initiatives, and supplier capability building.",,,
english,burberry_2020-21_esg,CG-AA-430a.1,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits or contractual agreements,CG-AA-430a.1,32,burberry_2020-21_esg_032,Quantitative,Percentage (%),supplier audit|social audit|Tier 1 suppliers|supply chain|environmental audit|SMETA|Fair Trade|responsible sourcing,"Percentage of supplier facilities audited to an environmental social audit standard, disaggregated by: (1) Tier 1 (direct suppliers) and (2) beyond Tier 1 (sub-suppliers); and by (a) all facilities and (b) high-risk facilities. Reports coverage and penetration of audit programmes.",,,
english,burberry_2020-21_esg,CG-AA-430b.1,Labour Conditions in the Supply Chain,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labour code of conduct, (3) percentage of total audits conducted by a third-party auditor",CG-AA-430b.1,32,burberry_2020-21_esg_032,Quantitative,Percentage (%),labour audit|Tier 1 suppliers|beyond Tier 1|high-risk facilities|supply chain|SMETA|SA8000|fair labour|working conditions,"Percentage of supplier facilities (Tier 1 and beyond) audited to a recognised labour standard (SMETA, SA8000, Fair Trade, etc.), disaggregated by tier (1 vs. beyond 1) and risk level (all vs. high-risk).",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-430a.2,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment,CG-AA-430a.2,7,kering_sustainability_progress_report_2020_2023_7d06687606_007,Quantitative,Percentage (%),environmental audit|supplier facilities|Tier 1|beyond Tier 1|high-risk|environmental compliance|supply chain audit,"Percentage of supplier facilities audited to an environmental standard, disaggregated by tier and risk level.",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-440a.3,Raw Materials Sourcing,"(1) List of priority raw materials; for each priority raw material: (2) environmental or social factor(s) most likely to threaten sourcing, (3) discussion on business risks or opportunities associated with environmental or social factors and (4) management strategy for addressing business risks and opportunities",CG-AA-440a.3,7,kering_sustainability_progress_report_2020_2023_7d06687606_007,Discussion and Analysis,n/a,priority raw materials|cotton|leather|wool|down|silk|rubber|material risk|supply chain risk|responsible sourcing|deforestation,"Three elements: (1) list of priority raw materials (e.g. cotton, leather, wool, down, silk, cashmere, rubber); (2) for each, the environmental or social risk factor (water use, deforestation, animal welfare, labour); (3) discussion of how the risk affects the business and opportunities for sustainable sourcing.",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-430a.2,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment,CG-AA-430a.2,7,kering_sustainability_progress_report_2020_2023_7d06687606_007,Quantitative,Percentage (%),environmental audit|supplier facilities|Tier 1|beyond Tier 1|high-risk|environmental compliance|supply chain audit,"Percentage of supplier facilities audited to an environmental standard, disaggregated by tier and risk level.",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,7,kering_sustainability_progress_report_2020_2023_7d06687606_007,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-430a.2,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment,CG-AA-430a.2,8,kering_sustainability_progress_report_2020_2023_7d06687606_008,Quantitative,Percentage (%),environmental audit|supplier facilities|Tier 1|beyond Tier 1|high-risk|environmental compliance|supply chain audit,"Percentage of supplier facilities audited to an environmental standard, disaggregated by tier and risk level.",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-250a.1,Raw Materials Sourcing,"(1) List of priority raw materials; for each priority raw material: (2) environmental or social factor(s) most likely to threaten sourcing, (3) discussion on business risks or opportunities associated with environmental or social factors and (4) management strategy for addressing business risks and opportunities",CG-AA-250a.1,8,kering_sustainability_progress_report_2020_2023_7d06687606_008,Discussion and Analysis,n/a,restricted substances|chemicals|REACH|ZDHC|RSL|MRSL|hazardous chemicals|product compliance|chemical management,"Qualitative description of: (1) processes to identify and comply with restricted substances regulations (REACH, CPSC, California Prop 65, country-specific RSLs); (2) supplier chemical management requirements (ZDHC MRSL); (3) testing and verification of compliance; (4) risk assessment for chemicals of concern.",,,
english,kering_sustainability_progress_report_2020_2023_7d06687606,CG-AA-430a.2,Environmental Impacts in the Supply Chain,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment,CG-AA-430a.2,9,kering_sustainability_progress_report_2020_2023_7d06687606_009,Quantitative,Percentage (%),environmental audit|supplier facilities|Tier 1|beyond Tier 1|high-risk|environmental compliance|supply chain audit,"Percentage of supplier facilities audited to an environmental standard, disaggregated by tier and risk level.",,,
